Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,원정팀결과,홈팀결과,비고
2014-07-10 18:30,대구,롯데,5,2,삼성,승,패,정규시즌
2014-07-11 18:30,광주,롯데,12,5,기아,승,패,정규시즌
2014-07-12 18:00,광주,롯데,4,5,기아,패,승,정규시즌
2014-07-13 18:00,광주,롯데,2,0,기아,승,패,정규시즌
2014-07-16 18:30,사직,넥센,4,3,롯데,승,패,정규시즌
2014-07-22 18:30,사직,삼성,5,3,롯데,승,패,정규시즌
2014-07-23 18:30,사직,삼성,15,12,롯데,승,패,정규시즌
2014-07-24 18:30,사직,삼성,17,1,롯데,승,패,정규시즌
2014-07-26 18:00,잠실,롯데,2,6,LG,패,승,정규시즌
2014-07-27 18:00,잠실,롯데,4,3,LG,승,패,정규시즌
2014-07-28 18:30,잠실,롯데,3,5,LG,패,승,정규시즌
2014-07-29 18:30,사직,두산,12,1,롯데,승,패,정규시즌
2014-07-30 18:30,사직,두산,1,3,롯데,패,승,정규시즌
2014-07-31 18:30,사직,두산,3,13,롯데,패,승,정규시즌
2014-08-05 18:30,사직,NC,3,1,롯데,승,패,정규시즌
2014-08-06 18:30,사직,NC,4,10,롯데,패,승,정규시즌
2014-08-08 18:30,대구,롯데,9,10,삼성,패,승,정규시즌
2014-08-09 18:00,광주,롯데,3,7,기아,패,승,정규시즌
2014-08-10 18:00,광주,롯데,3,6,기아,패,승,정규시즌
2014-08-12 18:30,사직,넥센,10,1,롯데,승,패,정규시즌
2014-08-13 18:30,사직,넥센,8,5,롯데,승,패,정규시즌
2014-08-14 18:30,대전,롯데,9,4,한화,승,패,정규시즌
2014-08-15 18:00,대전,롯데,6,8,한화,패,승,정규시즌
2014-08-16 18:00,잠실,롯데,2,9,두산,패,승,정규시즌
2014-08-17 18:00,잠실,롯데,4,7,두산,패,승,정규시즌
2014-08-19 18:30,울산,한화,10,7,롯데,승,패,정규시즌
2014-08-23 18:00,사직,LG,3,0,롯데,승,패,정규시즌
2014-08-24 18:00,사직,LG,6,5,롯데,승,패,정규시즌
2014-08-26 18:30,사직,삼성,10,7,롯데,승,패,정규시즌
2014-08-27 18:30,사직,삼성,4,11,롯데,패,승,정규시즌
2014-08-28 18:30,사직,기아,5,6,롯데,패,승,정규시즌
2014-08-29 18:30,사직,기아,9,5,롯데,승,패,정규시즌
2014-08-30 18:00,잠실,롯데,2,3,LG,패,승,정규시즌
2014-08-31 18:00,잠실,롯데,6,2,LG,승,패,정규시즌
2014-09-04 18:30,문학,롯데,6,4,SK,승,패,정규시즌
2014-09-05 18:30,문학,롯데,3,12,SK,패,승,정규시즌
2014-09-06 17:00,목동,롯데,10,5,넥센,승,패,정규시즌
2014-09-07 14:00,목동,롯데,6,7,넥센,패,승,정규시즌
2014-09-09 14:00,사직,SK,10,8,롯데,승,패,정규시즌
2014-09-10 14:00,사직,SK,5,11,롯데,패,승,정규시즌
2014-09-11 18:30,마산,롯데,5,1,NC,승,패,정규시즌
2014-09-12 18:30,마산,롯데,0,6,NC,패,승,정규시즌
2014-09-13 17:00,사직,두산,4,3,롯데,승,패,정규시즌
2014-09-14 14:00,사직,두산,3,4,롯데,패,승,정규시즌
2014-10-01 18:30,대구,롯데,3,4,삼성,패,승,정규시즌
2014-10-02 18:30,사직,한화,5,10,롯데,패,승,정규시즌
2014-10-03 14:00,사직,한화,3,15,롯데,패,승,정규시즌
2014-10-07 18:30,대전,롯데,5,8,한화,패,승,정규시즌
2014-10-10 18:30,사직,NC,12,0,롯데,승,패,정규시즌
2014-10-11 17:00,사직,한화,3,4,롯데,패,승,정규시즌
2014-10-12 14:00,사직,한화,2,4,롯데,패,승,정규시즌
2014-10-14 18:30,사직,넥센,12,4,롯데,승,패,정규시즌
2014-10-15 18:30,사직,넥센,7,6,롯데,승,패,정규시즌
2014-10-17 18:30,사직,LG,5,8,롯데,패,승,정규시즌
2015-03-07 13:00,사직,SK,2,1,롯데,승,패,시범경기
2015-03-08 13:00,사직,SK,1,9,롯데,패,승,시범경기
2015-03-11 13:00,사직,LG,2,0,롯데,승,패,시범경기
2015-03-12 13:00,사직,KT,6,5,롯데,승,패,시범경기
2015-03-13 13:00,사직,KT,2,3,롯데,패,승,시범경기
2015-03-14 13:00,목동,롯데,5,3,넥센,승,패,시범경기
2015-03-15 13:00,목동,롯데,1,2,넥센,패,승,시범경기
2015-03-17 13:00,울산,삼성,3,5,롯데,패,승,시범경기
2015-03-19 13:00,대전,롯데,12,0,한화,승,패,시범경기
2015-03-20 13:00,대전,롯데,13,2,한화,승,패,시범경기
2015-03-21 13:00,사직,NC,4,13,롯데,패,승,시범경기
2015-03-22 13:00,사직,NC,7,2,롯데,승,패,시범경기
2015-03-28 14:00,사직,KT,9,12,롯데,패,승,정규시즌
2015-03-29 14:00,사직,KT,4,5,롯데,패,승,정규시즌
2015-03-31 18:30,잠실,롯데,7,1,LG,승,패,정규시즌
2015-04-01 18:30,잠실,롯데,2,3,LG,패,승,정규시즌
2015-04-03 18:30,사직,두산,0,5,롯데,패,승,정규시즌
2015-04-05 14:00,사직,두산,4,16,롯데,패,승,정규시즌
2015-04-07 18:30,대구,롯데,1,3,삼성,패,승,정규시즌
2015-04-08 18:30,대구,롯데,2,4,삼성,패,승,정규시즌
2015-04-09 18:30,대구,롯데,4,5,삼성,패,승,정규시즌
2015-04-10 18:30,사직,한화,9,10,롯데,패,승,정규시즌
2015-04-11 17:00,사직,한화,4,1,롯데,승,패,정규시즌
2015-04-12 17:00,사직,한화,3,15,롯데,패,승,정규시즌
2015-04-14 18:30,사직,NC,4,5,롯데,패,승,정규시즌
2015-04-15 18:30,사직,NC,0,6,롯데,패,승,정규시즌
2015-04-16 18:30,사직,NC,8,3,롯데,승,패,정규시즌
2015-04-17 18:30,잠실,롯데,1,12,두산,패,승,정규시즌
2015-04-18 17:00,잠실,롯데,5,7,두산,패,승,정규시즌
2015-04-21 18:30,광주,롯데,2,3,기아,패,승,정규시즌
2015-04-22 18:30,광주,롯데,7,6,기아,승,패,정규시즌
2015-04-23 18:30,광주,롯데,6,7,기아,패,승,정규시즌
2015-04-24 18:30,사직,삼성,3,5,롯데,패,승,정규시즌
2015-04-25 17:00,사직,삼성,9,12,롯데,패,승,정규시즌
2015-04-26 14:00,사직,삼성,1,7,롯데,패,승,정규시즌
2015-04-28 18:30,목동,롯데,4,8,넥센,패,승,정규시즌
2015-04-30 18:30,목동,롯데,4,2,넥센,승,패,정규시즌
2015-05-01 18:30,대전,롯데,5,7,한화,패,승,정규시즌
2015-05-02 17:00,대전,롯데,3,5,한화,패,승,정규시즌
2015-05-03 14:00,대전,롯데,6,3,한화,승,패,정규시즌
2015-05-05 14:00,사직,SK,11,4,롯데,승,패,정규시즌
2015-05-06 18:30,사직,SK,5,3,롯데,승,패,정규시즌
2015-05-07 18:30,사직,SK,3,2,롯데,승,패,정규시즌
2015-05-08 18:30,마산,롯데,3,4,NC,패,승,정규시즌
2015-05-09 17:00,마산,롯데,3,6,NC,패,승,정규시즌
2015-05-10 14:00,마산,롯데,2,6,NC,패,승,정규시즌
2015-05-12 18:30,사직,넥센,4,5,롯데,패,승,정규시즌
2015-05-13 18:30,사직,넥센,8,9,롯데,패,승,정규시즌
2015-05-14 18:30,사직,넥센,10,5,롯데,승,패,정규시즌
2015-05-15 18:30,수원,롯데,11,10,KT,승,패,정규시즌
2015-05-16 17:00,수원,롯데,10,1,KT,승,패,정규시즌
2015-05-17 14:00,수원,롯데,6,2,KT,승,패,정규시즌
2015-05-19 18:30,사직,기아,3,6,롯데,패,승,정규시즌
2015-05-20 18:30,사직,기아,9,5,롯데,승,패,정규시즌
2015-05-21 18:30,사직,기아,2,4,롯데,패,승,정규시즌
2015-05-22 18:30,사직,LG,20,12,롯데,승,패,정규시즌
2015-05-23 17:00,사직,LG,11,19,롯데,패,승,정규시즌
2015-05-24 14:00,사직,LG,3,10,롯데,패,승,정규시즌
2015-05-26 18:30,문학,롯데,10,5,SK,승,패,정규시즌
2015-05-27 18:30,문학,롯데,0,6,SK,패,승,정규시즌
2015-05-28 18:30,문학,롯데,3,1,SK,승,패,정규시즌
2015-05-29 18:30,울산,한화,1,9,롯데,패,승,정규시즌
2015-05-30 14:00,울산,한화,4,3,롯데,승,패,정규시즌
2015-05-31 14:00,울산,한화,3,8,롯데,패,승,정규시즌
2015-06-02 18:30,포항,롯데,7,13,삼성,패,승,정규시즌
2015-06-03 18:30,포항,롯데,1,8,삼성,패,승,정규시즌
2015-06-04 18:30,포항,롯데,2,6,삼성,패,승,정규시즌
2015-06-06 17:00,사직,기아,2,1,롯데,승,패,정규시즌
2015-06-07 17:00,사직,기아,2,4,롯데,패,승,정규시즌
2015-06-09 18:30,사직,KT,7,2,롯데,승,패,정규시즌
2015-06-10 18:30,사직,KT,10,7,롯데,승,패,정규시즌
2015-06-11 18:30,사직,KT,16,6,롯데,승,패,정규시즌
2015-06-12 18:30,문학,롯데,2,8,SK,패,승,정규시즌
2015-06-13 17:00,문학,롯데,4,5,SK,패,승,정규시즌
2015-06-14 17:00,문학,롯데,1,0,SK,승,패,정규시즌
2015-06-16 18:30,목동,롯데,1,9,넥센,패,승,정규시즌
2015-06-17 18:30,목동,롯데,8,1,넥센,승,패,정규시즌
2015-06-18 18:30,목동,롯데,0,6,넥센,패,승,정규시즌
2015-06-19 18:30,잠실,롯데,4,3,두산,승,패,정규시즌
2015-06-21 17:00,잠실,롯데,0,10,두산,패,승,정규시즌
2015-06-23 18:30,사직,삼성,12,4,롯데,승,패,정규시즌
2015-06-24 18:30,사직,삼성,9,13,롯데,패,승,정규시즌
2015-06-26 18:30,사직,넥센,2,8,롯데,패,승,정규시즌
2015-06-27 17:00,사직,넥센,8,3,롯데,승,패,정규시즌
2015-06-28 17:00,사직,넥센,7,1,롯데,승,패,정규시즌
2015-07-01 18:30,마산,롯데,4,3,NC,승,패,정규시즌
2015-07-02 18:30,마산,롯데,2,3,NC,패,승,정규시즌
2015-07-03 18:30,사직,SK,8,7,롯데,승,패,정규시즌
2015-07-04 18:00,사직,SK,2,7,롯데,패,승,정규시즌
2015-07-05 18:00,사직,SK,5,1,롯데,승,패,정규시즌
2015-07-07 18:30,잠실,롯데,7,6,LG,승,패,정규시즌
2015-07-08 18:30,잠실,롯데,0,1,LG,패,승,정규시즌
2015-07-09 18:30,잠실,롯데,1,2,LG,패,승,정규시즌
2015-07-10 18:30,사직,두산,6,5,롯데,승,패,정규시즌
2015-07-14 18:30,청주,롯데,3,4,한화,패,승,정규시즌
2015-07-15 18:30,청주,롯데,12,10,한화,승,패,정규시즌
2015-07-16 18:30,청주,롯데,7,4,한화,승,패,정규시즌
2015-07-21 18:30,울산,NC,1,2,롯데,패,승,정규시즌
2015-07-22 18:30,울산,NC,3,2,롯데,승,패,정규시즌
2015-07-23 18:30,울산,NC,11,9,롯데,승,패,정규시즌
2015-07-24 18:30,광주,롯데,8,9,기아,패,승,정규시즌
2015-07-25 18:00,광주,롯데,7,1,기아,승,패,정규시즌
2015-07-26 18:00,광주,롯데,4,2,기아,승,패,정규시즌
2015-07-28 18:30,사직,LG,0,3,롯데,패,승,정규시즌
2015-07-29 18:30,사직,LG,2,3,롯데,패,승,정규시즌
2015-07-30 18:30,사직,LG,8,5,롯데,승,패,정규시즌
2015-07-31 18:30,수원,롯데,12,2,KT,승,패,정규시즌
2015-08-01 18:00,수원,롯데,6,19,KT,패,승,정규시즌
2015-08-02 18:00,수원,롯데,9,10,KT,패,승,정규시즌
2015-08-04 18:30,울산,두산,3,0,롯데,승,패,정규시즌
2015-08-05 18:30,울산,두산,6,8,롯데,패,승,정규시즌
2015-08-06 18:30,마산,롯데,3,8,NC,패,승,정규시즌
2015-08-07 18:30,마산,롯데,0,13,NC,패,승,정규시즌
2015-08-08 18:00,대전,롯데,4,6,한화,패,승,정규시즌
2015-08-09 18:00,대전,롯데,1,2,한화,패,승,정규시즌
2015-08-11 18:30,사직,SK,6,11,롯데,패,승,정규시즌
2015-08-13 18:30,수원,롯데,4,2,KT,승,패,정규시즌
2015-08-14 18:30,수원,롯데,4,9,KT,패,승,정규시즌
2015-08-15 18:00,목동,롯데,4,3,넥센,승,패,정규시즌
2015-08-17 18:30,목동,롯데,5,9,넥센,패,승,정규시즌
2015-08-18 18:30,사직,LG,4,7,롯데,패,승,정규시즌
2015-08-19 18:30,사직,LG,2,7,롯데,패,승,정규시즌
2015-08-21 18:30,사직,기아,1,9,롯데,패,승,정규시즌
2015-08-22 18:00,대구,롯데,4,15,삼성,패,승,정규시즌
2015-08-23 18:00,대구,롯데,15,0,삼성,승,패,정규시즌
2015-08-26 18:30,잠실,롯데,3,5,두산,패,승,정규시즌
2015-08-27 18:30,사직,넥센,3,8,롯데,패,승,정규시즌
2015-08-28 18:30,사직,넥센,9,5,롯데,승,패,정규시즌
2015-08-29 18:00,사직,NC,7,4,롯데,승,패,정규시즌
2015-08-30 18:00,사직,NC,6,4,롯데,승,패,정규시즌
2015-09-01 18:30,울산,KT,5,6,롯데,패,승,정규시즌
2015-09-02 18:30,울산,KT,1,5,롯데,패,승,정규시즌
2015-09-03 18:30,광주,롯데,7,5,기아,승,패,정규시즌
2015-09-04 18:30,광주,롯데,4,1,기아,승,패,정규시즌
2015-09-05 17:00,잠실,롯데,9,4,LG,승,패,정규시즌
2015-09-06 17:00,잠실,롯데,1,1,LG,무,무,정규시즌
2015-09-08 18:30,문학,롯데,10,4,SK,승,패,정규시즌
2015-09-09 18:30,문학,롯데,2,3,SK,패,승,정규시즌
2015-09-10 18:30,사직,삼성,3,4,롯데,패,승,정규시즌
2015-09-11 18:30,사직,삼성,9,7,롯데,승,패,정규시즌
2015-09-12 17:00,사직,한화,2,11,롯데,패,승,정규시즌
2015-09-13 14:00,사직,한화,7,4,롯데,승,패,정규시즌
2015-09-15 18:30,잠실,롯데,8,2,두산,승,패,정규시즌
2015-09-16 18:30,잠실,롯데,9,7,두산,승,패,정규시즌
2015-09-17 18:30,잠실,롯데,0,13,두산,패,승,정규시즌
2015-09-18 18:30,사직,SK,3,1,롯데,승,패,정규시즌
2015-09-20 14:00,사직,삼성,17,13,롯데,승,패,정규시즌
2015-09-22 18:30,사직,두산,6,5,롯데,승,패,정규시즌
2015-09-24 15:00,사직,두산,3,2,롯데,승,패,정규시즌
2015-09-24 18:49,사직,두산,10,6,롯데,승,패,정규시즌
2015-09-27 14:00,마산,롯데,4,2,NC,승,패,정규시즌
2015-09-29 14:00,사직,기아,6,4,롯데,승,패,정규시즌
2015-09-30 18:30,사직,기아,13,1,롯데,승,패,정규시즌
2015-10-02 18:30,목동,롯데,6,10,넥센,패,승,정규시즌
2015-10-03 14:00,잠실,롯데,2,5,LG,패,승,정규시즌
2015-10-04 14:00,사직,KT,3,6,롯데,패,승,정규시즌
2016-03-08 13:00,울산,SK,6,6,롯데,무,무,시범경기
2016-03-09 13:00,울산,SK,2,3,롯데,패,승,시범경기
2016-03-10 13:00,울산,삼성,10,5,롯데,승,패,시범경기
2016-03-11 13:00,울산,삼성,2,1,롯데,승,패,시범경기
2016-03-12 13:00,울산,LG,8,5,롯데,승,패,시범경기
2016-03-13 13:00,울산,LG,3,6,롯데,패,승,시범경기
2016-03-15 13:00,사직,두산,8,3,롯데,승,패,시범경기
2016-03-16 13:00,사직,두산,8,2,롯데,승,패,시범경기
2016-03-17 13:00,사직,NC,2,2,롯데,무,무,시범경기
2016-03-19 13:00,사직,한화,12,20,롯데,패,승,시범경기
2016-03-20 13:00,사직,한화,1,0,롯데,승,패,시범경기
2016-03-22 13:00,고척,롯데,0,5,넥센,패,승,시범경기
2016-03-23 13:00,고척,롯데,5,6,넥센,패,승,시범경기
2016-03-24 17:30,사직,기아,13,13,롯데,무,무,시범경기
2016-03-25 13:00,사직,기아,11,5,롯데,승,패,시범경기
2016-03-26 13:00,수원,롯데,0,11,KT,패,승,시범경기
2016-03-27 13:00,수원,롯데,3,5,KT,패,승,시범경기
2016-04-01 19:00,고척,롯데,2,1,넥센,승,패,정규시즌
2016-04-02 14:00,고척,롯데,3,5,넥센,패,승,정규시즌
2016-04-03 14:00,고척,롯데,5,6,넥센,패,승,정규시즌
2016-04-05 18:30,사직,SK,1,2,롯데,패,승,정규시즌
2016-04-06 18:30,사직,SK,1,11,롯데,패,승,정규시즌
2016-04-07 18:30,사직,SK,8,3,롯데,승,패,정규시즌
2016-04-08 18:30,사직,삼성,7,3,롯데,승,패,정규시즌
2016-04-09 14:00,사직,삼성,4,7,롯데,패,승,정규시즌
2016-04-10 14:00,사직,삼성,1,5,롯데,패,승,정규시즌
2016-04-12 18:30,잠실,롯데,11,12,LG,패,승,정규시즌
2016-04-13 18:30,잠실,롯데,3,5,LG,패,승,정규시즌
2016-04-14 18:30,잠실,롯데,9,0,LG,승,패,정규시즌
2016-04-15 18:30,마산,롯데,0,3,NC,패,승,정규시즌
2016-04-17 14:00,마산,롯데,8,5,NC,승,패,정규시즌
2016-04-19 18:30,사직,한화,3,4,롯데,패,승,정규시즌
2016-04-20 18:30,사직,한화,4,10,롯데,패,승,정규시즌
2016-04-21 18:30,사직,한화,9,5,롯데,승,패,정규시즌
2016-04-22 18:30,사직,기아,5,7,롯데,패,승,정규시즌
2016-04-23 17:00,사직,기아,16,10,롯데,승,패,정규시즌
2016-04-24 14:00,사직,기아,11,4,롯데,승,패,정규시즌
2016-04-26 18:30,수원,롯데,1,2,KT,패,승,정규시즌
2016-04-27 18:30,수원,롯데,4,0,KT,승,패,정규시즌
2016-04-28 18:30,수원,롯데,8,3,KT,승,패,정규시즌
2016-04-29 18:30,사직,NC,6,3,롯데,승,패,정규시즌
2016-04-30 17:00,사직,NC,8,1,롯데,승,패,정규시즌
2016-05-01 14:00,사직,NC,5,2,롯데,승,패,정규시즌
2016-05-03 18:30,광주,롯데,2,3,기아,패,승,정규시즌
2016-05-04 18:30,광주,롯데,2,3,기아,패,승,정규시즌
2016-05-05 14:00,광주,롯데,1,17,기아,패,승,정규시즌
2016-05-06 18:30,잠실,롯데,7,0,두산,승,패,정규시즌
2016-05-07 17:00,잠실,롯데,5,0,두산,승,패,정규시즌
2016-05-08 14:00,잠실,롯데,17,11,두산,승,패,정규시즌
2016-05-11 18:30,사직,넥센,16,2,롯데,승,패,정규시즌
2016-05-12 18:30,사직,넥센,1,8,롯데,패,승,정규시즌
2016-05-13 18:30,대구,롯데,14,8,삼성,승,패,정규시즌
2016-05-14 17:00,대구,롯데,4,10,삼성,패,승,정규시즌
2016-05-15 17:00,대구,롯데,8,3,삼성,승,패,정규시즌
2016-05-17 18:30,문학,롯데,3,7,SK,패,승,정규시즌
2016-05-18 18:30,문학,롯데,3,5,SK,패,승,정규시즌
2016-05-19 18:30,문학,롯데,4,3,SK,승,패,정규시즌
2016-05-20 18:30,사직,두산,19,5,롯데,승,패,정규시즌
2016-05-21 17:00,사직,두산,6,4,롯데,승,패,정규시즌
2016-05-22 14:00,사직,두산,4,10,롯데,패,승,정규시즌
2016-05-25 18:30,울산,LG,1,2,롯데,패,승,정규시즌
2016-05-26 18:30,울산,LG,4,7,롯데,패,승,정규시즌
2016-05-27 18:30,대전,롯데,7,11,한화,패,승,정규시즌
2016-05-28 17:00,대전,롯데,6,9,한화,패,승,정규시즌
2016-05-29 17:00,대전,롯데,2,9,한화,패,승,정규시즌
2016-05-31 18:30,사직,KT,5,9,롯데,패,승,정규시즌
2016-06-01 18:30,사직,KT,0,2,롯데,패,승,정규시즌
2016-06-02 18:30,사직,KT,2,1,롯데,승,패,정규시즌
2016-06-03 18:30,사직,NC,5,3,롯데,승,패,정규시즌
2016-06-05 17:00,사직,NC,14,7,롯데,승,패,정규시즌
2016-06-07 18:30,문학,롯데,9,6,SK,승,패,정규시즌
2016-06-08 18:30,문학,롯데,3,2,SK,승,패,정규시즌
2016-06-09 18:30,문학,롯데,5,6,SK,패,승,정규시즌
2016-06-10 18:30,잠실,롯데,3,5,두산,패,승,정규시즌
2016-06-11 17:00,잠실,롯데,10,8,두산,승,패,정규시즌
2016-06-12 17:00,잠실,롯데,4,5,두산,패,승,정규시즌
2016-06-14 18:30,고척,롯데,6,9,넥센,패,승,정규시즌
2016-06-15 18:30,고척,롯데,11,6,넥센,승,패,정규시즌
2016-06-16 18:30,고척,롯데,7,10,넥센,패,승,정규시즌
2016-06-17 18:30,사직,SK,12,1,롯데,승,패,정규시즌
2016-06-18 17:00,사직,SK,4,0,롯데,승,패,정규시즌
2016-06-19 17:00,사직,SK,3,10,롯데,패,승,정규시즌
2016-06-21 18:30,광주,롯데,6,9,기아,패,승,정규시즌
2016-06-22 18:30,광주,롯데,18,5,기아,승,패,정규시즌
2016-06-23 18:30,광주,롯데,2,6,기아,패,승,정규시즌
2016-06-24 18:30,대전,롯데,4,2,한화,승,패,정규시즌
2016-06-25 17:00,대전,롯데,1,8,한화,패,승,정규시즌
2016-06-26 17:00,대전,롯데,12,4,한화,승,패,정규시즌
2016-06-28 18:30,사직,삼성,4,7,롯데,패,승,정규시즌
2016-06-29 18:30,사직,삼성,4,5,롯데,패,승,정규시즌
2016-06-30 18:30,사직,삼성,6,7,롯데,패,승,정규시즌
2016-07-06 18:30,마산,롯데,3,12,NC,패,승,정규시즌
2016-07-07 18:30,마산,롯데,4,8,NC,패,승,정규시즌
2016-07-08 18:30,사직,LG,5,8,롯데,패,승,정규시즌
2016-07-09 18:00,사직,LG,12,13,롯데,패,승,정규시즌
2016-07-10 18:00,사직,LG,6,0,롯데,승,패,정규시즌
2016-07-12 18:30,포항,롯데,4,8,삼성,패,승,정규시즌
2016-07-13 18:30,포항,롯데,13,12,삼성,승,패,정규시즌
2016-07-14 18:30,포항,롯데,4,2,삼성,승,패,정규시즌
2016-07-19 18:30,사직,기아,6,1,롯데,승,패,정규시즌
2016-07-20 18:30,사직,기아,6,9,롯데,패,승,정규시즌
2016-07-21 18:30,사직,기아,1,10,롯데,패,승,정규시즌
2016-07-22 18:30,사직,한화,2,10,롯데,패,승,정규시즌
2016-07-23 18:00,사직,한화,6,7,롯데,패,승,정규시즌
2016-07-24 18:00,사직,한화,8,1,롯데,승,패,정규시즌
2016-07-26 18:30,잠실,롯데,12,10,LG,승,패,정규시즌
2016-07-27 18:30,잠실,롯데,1,7,LG,패,승,정규시즌
2016-07-28 18:30,잠실,롯데,2,5,LG,패,승,정규시즌
2016-07-29 18:30,수원,롯데,11,12,KT,패,승,정규시즌
2016-07-30 18:00,수원,롯데,3,4,KT,패,승,정규시즌
2016-07-31 18:00,수원,롯데,2,3,KT,패,승,정규시즌
2016-08-03 18:30,사직,넥센,5,6,롯데,패,승,정규시즌
2016-08-04 18:30,사직,넥센,5,4,롯데,승,패,정규시즌
2016-08-05 18:30,사직,두산,2,5,롯데,패,승,정규시즌
2016-08-06 18:00,사직,두산,1,11,롯데,패,승,정규시즌
2016-08-07 18:00,사직,두산,12,7,롯데,승,패,정규시즌
2016-08-09 18:30,마산,롯데,0,13,NC,패,승,정규시즌
2016-08-10 18:30,마산,롯데,5,7,NC,패,승,정규시즌
2016-08-11 18:30,울산,한화,3,2,롯데,승,패,정규시즌
2016-08-12 18:30,울산,한화,3,4,롯데,패,승,정규시즌
2016-08-13 18:00,문학,롯데,3,4,SK,패,승,정규시즌
2016-08-14 18:00,문학,롯데,5,6,SK,패,승,정규시즌
2016-08-16 18:30,고척,롯데,1,8,넥센,패,승,정규시즌
2016-08-17 18:30,고척,롯데,0,7,넥센,패,승,정규시즌
2016-08-18 18:30,사직,기아,3,4,롯데,패,승,정규시즌
2016-08-19 18:30,사직,기아,10,9,롯데,승,패,정규시즌
2016-08-20 18:00,사직,SK,3,2,롯데,승,패,정규시즌
2016-08-21 18:00,사직,SK,3,4,롯데,패,승,정규시즌
2016-08-23 18:30,울산,KT,4,8,롯데,패,승,정규시즌
